07/19/2011,ROMERS BURGER BAR        VANCOUVER,91.00,,570.23
07/19/2011,VINCI PARK-MWWH          VANCOUVER,3.00,,573.23
07/19/2011,WEAVER &DEVORE TRADING   YELLOWKNIF,12.79,,586.02
07/19/2011,PETROCAN-7285 HORNE ST   MISSION CI,40.44,,626.46
07/19/2011,IMPARK00011647U          VANCOUVER,4.00,,630.46
07/20/2011,WESTJET                  CALGARY,22.40,,652.86
07/20/2011,HMSHOST VCR AIRPORT      RICHMOND,9.23,,662.09
07/20/2011,WEAVER &DEVORE TRADING   YELLOWKNIF,24.20,,686.29
07/20/2011,YYOGA SOUTH GRANVILLE    VANCOUVER,91.39,,777.68
07/21/2011,JESSE OONARK CRAFTS LTD  BAKER LAKE,78.75,,856.43
07/21/2011,NORTHERN #120            BAKER LAKE,14.99,,871.42
07/21/2011,NORTHERN #120            BAKER LAKE,251.99,,1123.41
07/21/2011,NORTHERN #120            BAKER LAKE,13.01,,1136.42
07/21/2011,SFU BOOKSTORE VANCOUVE   VANCOUVER,8.96,,1145.38
07/22/2011,MAX'S BAKERY & DELI      VANCOUVER,3.79,,1149.17
07/25/2011,SAVE ON FOODS #937       VANCOUVER,19.90,,1169.07
07/26/2011,EASYPARK PARKIGN BC      VANCOUVER,5.00,,1174.07
07/27/2011,YELLOW CABS              VANCOUVER,30.00,,1204.07
07/28/2011,MAX'S BAKERY & DELI      VANCOUVER,2.14,,1206.21
08/04/2011,PAYMENT - THANK YOU,,1206.21,0.00
08/08/2011,CPC/SCP# 102007          VANCOUVER,31.19,,31.19
08/11/2011,LITTLE DREAM             VANCOUVER,30.00,,61.19
08/15/2011,SAVE ON FOODS #937       VANCOUVER,11.64,,72.83
08/15/2011,GRANVILLE ISLANDTEAQCO   VANCOUVER,7.95,,80.78
