08/18/2011,BAKER LAKE LODGE         BAKER LAKE,70.22,,151.00
08/18/2011,KALI TRADING             VANCOUVER,68.05,,219.05
08/19/2011,FALCONETTI S             VANCOUVER,29.20,,248.25
08/22/2011,Amazon Services-Kindle   866-321-88,21.23,,269.48
08/22/2011,Amazon Services-Kindle   866-321-88,16.21,,285.69
08/22/2011,Amazon Services-Kindle   866-321-88,43.61,,329.30
08/22/2011,YYOGA SOUTH GRANVILLE    VANCOUVER,91.39,,420.69
08/22/2011,PAZ FUELS LTD            ABBOTSFORD,15.09,,435.78
08/23/2011,SAVE ON FOODS #902       ALDERGROVE,14.49,,450.27
08/23/2011,CHEVRON NO 2/WESTMINSTER RICHMOND,6.01,,456.28
08/24/2011,WHOLE FOODS MARKET       VANCOUVER,24.70,,480.98
08/25/2011,SAVE ON FOODS #937       VANCOUVER,7.80,,488.78
08/29/2011,BAKER LAKE LODGE         BAKER LAKE,66.88,,555.66
09/01/2011,NORTHERN #120            BAKER LAKE,20.07,,575.73
09/01/2011,ZARA'S DELI              VANCOUVER,14.15,,589.88
09/02/2011,WINNERS/HOMESENSE 402/074VANCOUVER,23.50,,613.38
09/06/2011,NORTHERN #552            RANKIN INL,15.87,,629.25
09/06/2011,MEINHARDT FINE FOODS     VANCOUVER,7.79,,637.04
09/06/2011,THE BLACK KNIGHT PUB     YELLOWKNIF,28.35,,665.39
09/06/2011,WEAVER &DEVORE TRADING   YELLOWKNIF,24.30,,689.69
09/06/2011,WESTJET                  CALGARY,21.00,,710.69
09/06/2011,THE RED DOOR             VANCOUVER,100.00,,810.69
09/06/2011,MOTHERLAND               VANCOUVER,384.16,,1194.85
09/06/2011,EDIE HATS                VANCOUVER,254.24,,1449.09
09/06/2011,ROYAL SEOUL HOUSE        VANCOUVER,57.12,,1506.21
09/06/2011,THE HOME DEPOT #7259     VANCOUVER,8.95,,1515.16
09/06/2011,ICBC #15110              VANCOUVER,58.00,,1573.16
09/06/2011,WHOLE FOODS MARKET       VANCOUVER,11.63,,1584.79
09/06/2011,SHOPPERSDRUGMART0202     VANCOUVER,81.00,,1665.79
09/06/2011,SAVE ON FOODS #937       VANCOUVER,1.89,,1667.68
09/06/2011,SAVE ON FOODS #937       VANCOUVER,22.75,,1690.43
09/06/2011,VANCOUVER AIRPORT PARK   RICHMOND,4.25,,1694.68
09/06/2011,SIEGEL'S BAGELS 2000     VANCOUVER,15.57,,1710.25
09/06/2011,ROGUE KITCHEN & WET BAR  VANCOUVER,35.82,,1746.07
09/06/2011,CHOCOLATAS               VANCOUVER,27.72,,1773.79
09/07/2011,PAYMENT - THANK YOU,,613.38,1160.41
09/07/2011,ZARA'S DELI              VANCOUVER,4.38,,1164.79
09/07/2011,STUART'S                 VANCOUVER,3.99,,1168.78
09/07/2011,G I MEAT MASTER/ARMANDO'SVANCOUVER,11.92,,1180.70
09/07/2011,BC LIQUOR #160           VANCOUVER,36.63,,1217.33
09/08/2011,THE DELLY                VANCOUVER,2.75,,1220.08
09/08/2011,BEAN AROUND THE WORLD UBCVANCOUVER,6.04,,1226.12
09/08/2011,ON THE FRINGE HAIR DESIGNVANCOUVER,32.22,,1258.34
09/08/2011,DUSSA'S HAM & CHEESE     VANCOUVER,12.68,,1271.02
09/08/2011,KITSILANO NATURAL FOODS  VANCOUVER,20.61,,1291.63
09/08/2011,GRANVILLE ISLAND SRAFOOD VANCOUVER,20.00,,1311.63
09/08/2011,BLENZ COFFEE SOUTH GRANVIVANCOUVER,3.23,,1314.86
09/08/2011,BLENZ COFFEE SOUTH GRANVIVANCOUVER,4.19,,1319.05
09/08/2011,PETROCAN-7285 HORNE ST   MISSION CI,45.08,,1364.13
09/08/2011,G I MEAT MASTER/ARMANDO'SVANCOUVER,31.21,,1395.34
09/08/2011,INTERAC NTWK/RESEAU "INTERAC",21.25,,1416.59
09/08/2011,CASH ADVANCE FEE,3.50,,1420.09
09/08/2011,CANADA SAFEWAY #002      VANCOUVER,8.02,,1428.11
09/08/2011,ACME CAFE                VANCOUVER,14.94,,1443.05
09/08/2011,EAST IS EAST             VANCOUVER,11.70,,1454.75
09/08/2011,COBS BREAD #9006         VANCOUVER,5.75,,1460.50
09/08/2011,MAX'S BAKERY & DELI      VANCOUVER,7.82,,1468.32
09/09/2011,UBC REC                  VANCOUVER,97.00,,1565.32
09/09/2011,UBC REC                  VANCOUVER,56.00,,1621.32
09/09/2011,ZARA'S DELI              VANCOUVER,5.10,,1626.42
09/09/2011,BEAN AROUND THE WORLD GRAVANCOUVER,11.24,,1637.66
09/09/2011,WINNERS 358              VANCOUVER,80.57,,1718.23
09/09/2011,CAFE CREPE               VANCOUVER,9.15,,1727.38
09/09/2011,INTERAC NTWK/RESEAU "INTERAC",41.25,,1768.63
09/09/2011,CASH ADVANCE FEE,3.50,,1772.13
09/09/2011,PAYMENT - THANK YOU,,1400.00,372.13
09/09/2011,SUNSHINE MARKET (1990) LTVANCOUVER,7.88,,380.01
09/12/2011,TENDERLAND MEATS         VANCOUVER,34.56,,414.57
09/12/2011,JOEY BURRARD             VANCOUVER,24.44,,439.01
09/12/2011,NCIX - VANCOUVER         VANCOUVER,11.78,,450.79
09/12/2011,IVALU LTD                RANKIN INL,62.95,,513.74
09/12/2011,SHOPPERSDRUGMART2221     VANCOUVER,2.09,,515.83
09/12/2011,ROGUE KITCHEN & WET BAR  VANCOUVER,34.68,,550.51
09/12/2011,STEAMWORKS               VANCOUVER,21.14,,571.65
09/12/2011,INTERAC NTWK/RESEAU "INTERAC",61.25,,632.90
09/12/2011,CASH ADVANCE FEE,3.50,,636.40
09/12/2011,PAYMENT - THANK YOU,,300.00,336.40
09/12/2011,MEINHARDT FINE FOODS     VANCOUVER,7.49,,343.89
09/12/2011,THE FACTORY              VANCOUVER,24.81,,368.70
09/12/2011,WHOLE FOODS MARKET       VANCOUVER,12.80,,381.50
09/12/2011,HI-LITE                  VANCOUVER,20.15,,401.65
09/12/2011,MARKETPLACE IGA #23      VANCOUVER,16.94,,418.59
09/12/2011,FLOW YOGA STUDIO         VANCOUVER,2.25,,420.84
09/13/2011,FUTURE SHOP #1           VANCOUVER,3.01,,423.85
09/13/2011,CRAVINGS COFFEE HOUSE    LANGLEY,8.68,,432.53
09/13/2011,VANCOUVER PHOTO WORKSHOP VANCOUVER,302.40,,734.93
09/13/2011,PAYMENT - THANK YOU,,500.00,234.93
09/13/2011,BC LIQUOR #053           VANCOUVER,10.18,,245.11
09/13/2011,ICBC #15076              VANCOUVER,30.00,,275.11
09/14/2011,Amazon.ca                AMAZON.CA,56.79,,331.90
09/14/2011,FLOWERS FOR YOU          VANCOUVER,77.82,,409.72
09/15/2011,SUBEEZ CAFE BAR          VANCOUVER,57.11,,466.83
09/15/2011,11147 MACS CONV. STORES  VANCOUVER,21.64,,488.47
09/15/2011,FRESH SLICE PIZZA        VANCOUVER,2.49,,490.96
